asset,asset_class,slot,indicator_id,indicator_type,horizon,ic_or_spread,ic_ir,n_obs,p_value,survives_fdr,low_confidence,note
HYG,credit,Volatility,VO-RVI-14,continuous,1,0.0037197930785944668,-0.4274274893335962,4809,0.804461531127387,False,False,
HYG,credit,Volatility,VO-RVI-14,continuous,5,-0.01648870733745489,-0.30376526165353446,4805,0.4990836687170468,False,False,
HYG,credit,Volatility,VO-RVI-14,continuous,10,-0.023821673368899655,-0.27248730518037406,4800,0.42590713262800484,False,False,
HYG,credit,Volatility,VO-RVI-14,continuous,20,-0.03723593885261021,-0.2525246982881762,4790,0.30242611055656954,False,False,
HYG,credit,Volatility,VO-UI-14,continuous,1,0.043981318817400826,0.827253054670021,4809,0.003758963367625523,True,False,
HYG,credit,Volatility,VO-UI-14,continuous,5,0.09200784876676595,0.4339706601103384,4805,0.0009313310253394292,True,False,
HYG,credit,Volatility,VO-UI-14,continuous,10,0.1374715321128963,0.31816674916104976,4800,0.00026561385261958734,True,False,
HYG,credit,Volatility,VO-UI-14,continuous,20,0.16523793111021987,0.2901085803910289,4790,0.0010442997999407478,True,False,
HYG,credit,Volume,VL-AD-SLOPE-5,continuous,1,-0.01744325976136126,-0.2968064468046878,4830,0.21772394319598865,False,False,
HYG,credit,Volume,VL-AD-SLOPE-5,continuous,5,-0.0394326127779325,-0.198799889407875,4826,0.06751916634687509,False,False,
HYG,credit,Volume,VL-AD-SLOPE-5,continuous,10,-0.0368319521606376,-0.18861792445405118,4821,0.11694551144371827,False,False,
HYG,credit,Volume,VL-AD-SLOPE-5,continuous,20,-0.06604121599619499,-0.19475037838802856,4811,0.011351779496389188,True,False,
HYG,credit,Volume,VL-ADOSC-3-10,continuous,1,-0.030119397333847813,-0.5202529897277584,4826,0.03346838850191276,False,False,
HYG,credit,Volume,VL-ADOSC-3-10,continuous,5,-0.057058987065358543,-0.30035833550987934,4822,0.016061723728350727,True,False,
HYG,credit,Volume,VL-ADOSC-3-10,continuous,10,-0.07540716101316812,-0.236427099557755,4817,0.010028157222681293,True,False,
HYG,credit,Volume,VL-ADOSC-3-10,continuous,20,-0.10162470316759581,-0.2005138237833559,4807,0.004034257465257857,True,False,
HYG,credit,Volume,VL-CMF-20,continuous,1,-0.028162948579752378,-0.5765196995306249,4816,0.057179874911133965,False,False,
HYG,credit,Volume,VL-CMF-20,continuous,5,-0.06786549142035214,-0.31178618039801126,4812,0.010019259313925161,True,False,
HYG,credit,Volume,VL-CMF-20,continuous,10,-0.10157004751919924,-0.22031017187454888,4807,0.003963907634007162,True,False,
HYG,credit,Volume,VL-CMF-20,continuous,20,-0.12568044188357577,-0.18747897858428572,4797,0.007276919924989528,True,False,
HYG,credit,Volume,VL-EOM-14,continuous,1,0.02393905321820009,-0.47908631220584685,4821,0.14660249222543525,False,False,
HYG,credit,Volume,VL-EOM-14,continuous,5,-0.02977829042499869,-0.3617101610691984,4817,0.2908759075940093,False,False,
HYG,credit,Volume,VL-EOM-14,continuous,10,-0.04927538377672724,-0.3048230468018722,4812,0.17312348480377393,False,False,
HYG,credit,Volume,VL-EOM-14,continuous,20,-0.09620811765029937,-0.26432961199876664,4802,0.032509954983994435,False,False,
HYG,credit,Volume,VL-MFI-14,continuous,1,-0.006278236023753375,-0.5120595602556961,4822,0.6738134663943209,False,False,
HYG,credit,Volume,VL-MFI-14,continuous,5,-0.03083161876947227,-0.31746333910237917,4818,0.23895227182804335,False,False,
HYG,credit,Volume,VL-MFI-14,continuous,10,-0.03758742263250304,-0.22975011361450795,4813,0.273209409906617,False,False,
HYG,credit,Volume,VL-MFI-14,continuous,20,-0.0648630011545668,-0.21234012081984885,4803,0.12519452717691107,False,False,
HYG,credit,Volume,VL-OBV-SLOPE-5,continuous,1,-0.0218210059054832,-0.3202780181513168,4830,0.1256689699685486,False,False,
HYG,credit,Volume,VL-OBV-SLOPE-5,continuous,5,-0.04689862972559196,-0.23465117514640074,4826,0.025307780763088417,False,False,
HYG,credit,Volume,VL-OBV-SLOPE-5,continuous,10,-0.03431917082456422,-0.20600486033629628,4821,0.1301819824763036,False,False,
