asset,asset_class,indicator,indicator_type,horizon,ic_or_spread,ic_ir,n_obs,p_value,survives_fdr,low_confidence,note
^HSI,equity,ULTOSC,continuous,10,0.01455077466758586,-0.21124946894654445,9707,0.5025134739223889,False,False,
^HSI,equity,ULTOSC,continuous,20,-0.006445772456426393,-0.23127732827390524,9697,0.8015172662277064,False,False,
^HSI,equity,WILLR_14,continuous,1,0.030292108752579896,-0.2192177762857905,9731,0.0024528875844045425,True,False,
^HSI,equity,WILLR_14,continuous,5,0.020394391866495627,-0.2340123672957537,9727,0.2349634348167674,False,False,
^HSI,equity,WILLR_14,continuous,10,0.02189392626179344,-0.19391013621526818,9722,0.31311249634095684,False,False,
^HSI,equity,WILLR_14,continuous,20,-0.001762388529677939,-0.2246689743946806,9712,0.9450904202817157,False,False,
^HSI,equity,EMA_50_200_CROSS,discrete_cross,1,7.411923661510079e-05,,3452,,,False,ema50>ema200: n=6093 mean=0.00027 hit=0.52421 | ema50<=ema200: n=3452 mean=0.00020 hit=0.50029
^HSI,equity,EMA_50_200_CROSS,discrete_cross,5,0.00037650066215799715,,3448,,,False,ema50>ema200: n=6093 mean=0.00135 hit=0.54751 | ema50<=ema200: n=3448 mean=0.00097 hit=0.51827
^HSI,equity,EMA_50_200_CROSS,discrete_cross,10,0.00038337155672604284,,3445,,,False,ema50>ema200: n=6091 mean=0.00263 hit=0.54425 | ema50<=ema200: n=3445 mean=0.00224 hit=0.52366
^HSI,equity,EMA_50_200_CROSS,discrete_cross,20,0.0018828180365521177,,3445,,,False,ema50>ema200: n=6081 mean=0.00572 hit=0.56323 | ema50<=ema200: n=3445 mean=0.00384 hit=0.54688
